DEPT,GR
1339.0,98.8448
1340.0,96.7732
1341.0,111.6266
1342.0,102.6371
1343.0,100.2526
1344.0,106.3694
1345.0,111.0013
1346.0,106.222
1347.0,106.091
1348.0,95.144
1349.0,94.707
1350.0,103.4903
1351.0,103.6591
1352.0,102.9324
1353.0,98.1535
1354.0,95.7608
1355.0,108.927
1356.0,113.7888
1357.0,108.1917
1358.0,105.063
1359.0,98.7896
1360.0,109.1508
1361.0,107.9854
1362.0,101.7077
1363.0,108.9339
1364.0,103.081
1365.0,98.6976
1366.0,94.8831
1367.0,101.3296
1368.0,101.6405
1369.0,102.5715
1370.0,105.9889
1371.0,101.721
1372.0,110.2228
1373.0,101.2286
1374.0,100.1346
1375.0,99.6715
1376.0,104.5308
1377.0,110.9091
1378.0,114.2007
1379.0,101.7583
1380.0,105.026
1381.0,101.7858
1382.0,102.6447
1383.0,103.2489
1384.0,98.3187
1385.0,111.4511
1386.0,104.1871
1387.0,93.5918
1388.0,109.012
1389.0,105.2465
1390.0,105.7538
1391.0,97.5527
1392.0,105.4029
1393.0,100.2019
1394.0,101.2686
1395.0,99.1391
1396.0,101.4637
1397.0,94.7035
1398.0,107.1629
1399.0,102.3829
1400.0,102.5584
1401.0,103.9146
1402.0,97.4977
1403.0,104.3998
1404.0,111.5382
1405.0,96.8297
1406.0,110.0923
1407.0,101.962
1408.0,98.6684
1409.0,106.1061
1410.0,104.8417
1411.0,112.0348
1412.0,102.2417
1413.0,97.4183
1414.0,96.9651
1415.0,103.6081
1416.0,105.4241
1417.0,101.1402
1418.0,100.6538
1419.0,102.0559
1420.0,105.6264
1421.0,100.3761
1422.0,102.6041
1423.0,100.7866
1424.0,92.1513
1425.0,92.8823
1426.0,105.9863
1427.0,114.2713
1428.0,103.6299
1429.0,93.6495
1430.0,100.7359
1431.0,100.973
1432.0,100.877
1433.0,102.7782
1434.0,105.6628
1435.0,101.4624
1436.0,95.0002
1437.0,95.7468
1438.0,98.299
1439.0,97.1707
1440.0,98.7005
1441.0,108.27
1442.0,100.1404
1443.0,99.891
1444.0,106.4062
1445.0,93.2731
1446.0,88.3689
1447.0,101.5458
1448.0,102.7857
1449.0,99.4919
1450.0,100.9922
1451.0,105.9595
1452.0,118.9124
1453.0,111.6462
1454.0,98.3482
1455.0,102.0457
1456.0,104.2263
1457.0,106.6252
1458.0,112.8091
1459.0,110.6301
1460.0,108.9558
1461.0,103.2782
1462.0,103.2277
1463.0,107.492
1464.0,99.4583
1465.0,95.7651
1466.0,98.7247
1467.0,107.2219
1468.0,104.2558
1469.0,110.4862
1470.0,117.0503
1471.0,113.2728
1472.0,100.1044
1473.0,94.7666
1474.0,101.0891
1475.0,100.4441
1476.0,107.897
1477.0,101.0218
1478.0,105.5388
1479.0,104.2544
1480.0,98.1823
1481.0,95.8598
1482.0,89.6939
1483.0,100.8435
1484.0,110.4828
1485.0,97.2921
1486.0,98.4629
1487.0,107.074
1488.0,98.6442
1489.0,98.1977
1490.0,110.1298
1491.0,111.1788
1492.0,103.1374
1493.0,101.1108
1494.0,104.3471
1495.0,103.6432
1496.0,104.3134
1497.0,97.6382
1498.0,103.5506
1499.0,107.0657
1500.0,101.2041
1501.0,105.3695
1502.0,101.9627
1503.0,100.3987
1504.0,99.9938
1505.0,108.2723
1506.0,100.9427
1507.0,99.5619
1508.0,102.1626
1509.0,108.9866
1510.0,99.026
1511.0,100.3695
1512.0,104.0829
1513.0,106.6637
1514.0,114.8753
1515.0,104.6375
1516.0,100.8413
1517.0,99.1965
1518.0,104.4902
1519.0,102.4021
1520.0,103.8659
1521.0,100.2904
1522.0,116.7386
1523.0,106.5117
1524.0,105.6655
1525.0,100.6639
1526.0,104.3647
1527.0,102.4027
1528.0,107.8599
1529.0,109.2855
1530.0,112.0399
1531.0,107.1617
1532.0,102.2794
1533.0,98.9363
1534.0,97.0858
1535.0,101.6042
1536.0,102.4931
1537.0,111.2222
1538.0,101.2503
1539.0,105.1202
1540.0,95.883
1541.0,105.6881
1542.0,118.0311
1543.0,108.52
1544.0,105.0474
1545.0,103.4025
1546.0,104.8613
1547.0,106.8388
1548.0,106.7793
1549.0,109.5328
1550.0,110.6877
1551.0,108.0772
1552.0,111.9102
1553.0,108.8667
1554.0,111.5878
1555.0,115.2404
1556.0,114.507
1557.0,107.8004
1558.0,106.9302
1559.0,102.3424
1560.0,115.3762
1561.0,115.7695
1562.0,120.1029
1563.0,118.121
1564.0,112.6122
1565.0,109.0428
1566.0,104.9219
1567.0,107.3686
1568.0,115.3178
1569.0,117.4732
1570.0,111.5889
1571.0,120.6826
1572.0,127.9321
1573.0,120.3818
1574.0,106.9802
1575.0,117.2395
1576.0,112.4427
1577.0,118.0606
1578.0,116.8309
1579.0,119.4167
1580.0,123.3192
1581.0,117.9735
1582.0,114.6382
1583.0,116.2105
1584.0,112.9533
1585.0,115.4931
1586.0,120.4695
1587.0,126.2699
1588.0,125.6391
1589.0,127.3147
1590.0,117.5103
1591.0,112.7348
1592.0,118.2963
1593.0,119.5771
1594.0,120.7327
1595.0,122.849
1596.0,122.792
1597.0,120.4702
1598.0,108.9257
1599.0,110.4126
1600.0,119.7656
1601.0,117.5967
1602.0,113.4532
1603.0,115.2109
1604.0,118.2558
1605.0,121.0575
1606.0,115.2116
1607.0,109.8856
1608.0,120.647
1609.0,115.5223
1610.0,114.1253
1611.0,125.2279
1612.0,118.0221
1613.0,115.651
1614.0,120.4689
1615.0,123.1274
1616.0,114.2124
1617.0,119.8433
1618.0,113.3087
1619.0,111.2757
1620.0,109.0048
1621.0,114.566
1622.0,116.0641
1623.0,132.3333
1624.0,128.5146
1625.0,119.6511
1626.0,115.9639
1627.0,115.2391
1628.0,123.6931
1629.0,116.1729
1630.0,114.6106
1631.0,112.5161
1632.0,103.0131
1633.0,102.1106
1634.0,116.4605
1635.0,123.1443
1636.0,122.4543
1637.0,125.9375
1638.0,114.9497
1639.0,115.2411
1640.0,118.3986
1641.0,108.8373
1642.0,107.9593
1643.0,115.2725
1644.0,127.5066
1645.0,116.6434
1646.0,122.0794
1647.0,119.6491
1648.0,117.0397
1649.0,115.8925
1650.0,119.9411
1651.0,120.0726
1652.0,124.2299
1653.0,127.1507
1654.0,125.0529
1655.0,114.8901
1656.0,117.1511
1657.0,126.3283
1658.0,123.729
1659.0,110.9817
1660.0,112.2911
1661.0,118.826
1662.0,111.7349
1663.0,111.8918
1664.0,112.258
1665.0,107.6907
1666.0,116.111
1667.0,116.5336
1668.0,120.2242
1669.0,124.8455
1670.0,115.8007
1671.0,122.541
1672.0,126.9329
1673.0,125.4348
1674.0,127.1508
1675.0,126.58
1676.0,131.5145
1677.0,135.6378
1678.0,119.2058
1679.0,121.5119
1680.0,125.3745
1681.0,119.8233
1682.0,124.5823
1683.0,119.8119
1684.0,124.0288
1685.0,126.5506
1686.0,131.1427
1687.0,128.8122
1688.0,123.7929
1689.0,131.7066
1690.0,138.5646
1691.0,137.2432
1692.0,132.3796
1693.0,120.249
1694.0,112.3031
1695.0,103.8085
1696.0,113.0089
1697.0,113.7045
1698.0,120.6739
1699.0,118.8674
1700.0,115.5927
1701.0,110.8564
1702.0,110.0408
1703.0,117.3717
1704.0,117.5911
1705.0,121.0864
1706.0,125.0645
1707.0,127.1373
1708.0,128.9877
1709.0,122.9533
1710.0,116.7415
1711.0,121.4675
1712.0,123.3039
1713.0,119.8521
1714.0,127.0025
1715.0,122.4974
1716.0,116.535
1717.0,109.2478
1718.0,113.8639
1719.0,115.4755
1720.0,118.4896
1721.0,126.7555
1722.0,135.3435
1723.0,136.9191
1724.0,139.7406
1725.0,141.1202
1726.0,146.591
1727.0,137.1804
1728.0,139.1904
1729.0,137.185
1730.0,127.6226
1731.0,134.3949
1732.0,136.2337
1733.0,130.1349
1734.0,127.7417
1735.0,130.2233
1736.0,115.6111
1737.0,117.5328
1738.0,122.4522
1739.0,123.5543
1740.0,115.5358
1741.0,110.8049
1742.0,124.6847
1743.0,127.8431
1744.0,128.0652
1745.0,134.334
1746.0,125.4931
1747.0,136.6658
1748.0,147.3197
1749.0,139.1211
1750.0,130.1932
1751.0,136.022
1752.0,141.7966
1753.0,144.9798
1754.0,160.3912
1755.0,153.9565
1756.0,173.9929
1757.0,185.4536
1758.0,186.3292
1759.0,188.3454
1760.0,172.5237
1761.0,179.0966
1762.0,219.4257
1763.0,242.6421
1764.0,216.0075
1765.0,173.7285
1766.0,148.7569
1767.0,153.7253
1768.0,154.6638
1769.0,144.3837
1770.0,122.5443
1771.0,122.5269
1772.0,88.3343
1773.0,101.3352
1774.0,120.928
1775.0,119.2353
1776.0,121.7792
1777.0,135.4524
1778.0,134.348
1779.0,138.4504
1780.0,139.5946
1781.0,132.5257
1782.0,134.7786
1783.0,134.5724
1784.0,136.51
1785.0,137.841
1786.0,139.8866
1787.0,139.6177
1788.0,129.5203
1789.0,122.0714
1790.0,120.5738
1791.0,132.6435
1792.0,130.5055
1793.0,122.975
1794.0,118.2737
1795.0,122.7924
1796.0,131.9895
1797.0,127.3283
1798.0,122.2789
1799.0,126.9932
1800.0,126.4647
1801.0,130.2218
1802.0,136.7435
1803.0,132.2779
1804.0,137.8613
1805.0,131.6089
1806.0,133.018
1807.0,132.1493
1808.0,129.7876
1809.0,132.1026
1810.0,133.953
1811.0,136.9505
1812.0,135.8917
1813.0,136.3605
1814.0,127.4337
1815.0,121.4713
1816.0,126.9028
1817.0,127.299
1818.0,135.305
1819.0,127.4159
1820.0,124.9941
1821.0,130.8572
1822.0,130.1376
1823.0,127.7293
1824.0,139.8544
1825.0,131.0539
1826.0,131.4569
1827.0,135.9068
1828.0,130.7078
1829.0,127.5957
1830.0,134.4217
1831.0,128.5175
1832.0,128.4894
1833.0,128.1076
1834.0,128.3126
1835.0,134.7181
1836.0,140.0453
1837.0,140.7384
1838.0,140.3678
1839.0,135.9788
1840.0,128.1947
1841.0,122.2885
1842.0,127.1242
1843.0,137.4005
1844.0,125.9616
1845.0,128.4894
1846.0,138.0374
1847.0,145.1454
1848.0,138.684
1849.0,136.2939
1850.0,131.0787
1851.0,122.2653
1852.0,137.2699
1853.0,131.7795
1854.0,134.8252
1855.0,132.5756
1856.0,119.9997
1857.0,125.0504
1858.0,132.8189
1859.0,134.216
1860.0,137.8893
1861.0,143.5784
1862.0,139.4472
1863.0,131.3515
1864.0,134.8342
1865.0,142.9215
1866.0,147.2005
1867.0,144.5956
1868.0,133.9522
1869.0,131.927
1870.0,125.8598
1871.0,132.7208
1872.0,123.8071
1873.0,121.7032
1874.0,132.6898
1875.0,156.8386
1876.0,159.481
1877.0,136.0815
1878.0,134.8938
1879.0,135.166
1880.0,141.3237
1881.0,131.2807
1882.0,116.8155
1883.0,118.1822
1884.0,125.3143
1885.0,133.2477
1886.0,131.4281
1887.0,136.0344
1888.0,133.1778
1889.0,143.8232
1890.0,146.9328
1891.0,143.8521
1892.0,140.0923
1893.0,140.6219
1894.0,138.3884
1895.0,135.7547
1896.0,134.482
1897.0,134.4075
1898.0,134.6594
1899.0,141.2095
1900.0,138.7146
1901.0,135.8335
1902.0,139.5746
1903.0,137.3048
1904.0,133.8685
